Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W),timestamp
1,1,0,0,0,14.2,0.0,0.2,0.0,14.2,0.0,0.0,2010-01-01 00:00:00
1,1,1,0,0,14.0,0.0,0.2,0.0,14.0,0.0,0.0,2010-01-01 01:00:00
1,1,2,0,0,13.7,0.0,0.2,0.0,13.7,0.0,0.0,2010-01-01 02:00:00
1,1,3,0,0,13.5,0.0,0.2,0.0,13.5,0.0,0.0,2010-01-01 03:00:00
1,1,4,0,0,13.2,0.0,0.2,0.0,13.2,0.0,0.0,2010-01-01 04:00:00
1,1,5,0,0,13.0,0.0,0.2,0.0,13.0,0.0,0.0,2010-01-01 05:00:00
1,1,6,0,0,12.7,0.0,0.2,0.0,12.7,0.0,0.0,2010-01-01 06:00:00
1,1,7,198,10,12.9,0.0,0.2,0.0,12.9,0.0,0.0,2010-01-01 07:00:00
1,1,8,111,68,13.6,0.0,0.2,116.25,17.77,266.516,241.218,2010-01-01 08:00:00
1,1,9,62,61,14.7,0.0,0.2,91.572,18.443,304.817,278.162,2010-01-01 09:00:00
1,1,10,180,161,16.2,0.0,0.2,283.292,27.819,956.14,906.405,2010-01-01 10:00:00
1,1,11,131,171,17.7,0.0,0.2,278.48,29.095,926.348,877.669,2010-01-01 11:00:00
1,1,12,242,175,18.9,0.0,0.2,390.836,34.89,1280.369,1219.146,2010-01-01 12:00:00
1,1,13,438,119,19.8,0.0,0.2,507.972,40.608,1641.658,1567.634,2010-01-01 13:00:00
1,1,14,307,111,20.0,0.0,0.2,369.907,35.159,1216.595,1157.632,2010-01-01 14:00:00
1,1,15,100,65,19.5,0.0,0.2,138.517,25.18,461.121,428.927,2010-01-01 15:00:00
1,1,16,99,13,18.5,0.0,0.2,68.488,21.315,227.364,203.453,2010-01-01 16:00:00
1,1,17,0,0,17.5,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-01 17:00:00
1,1,18,0,0,16.7,0.0,0.2,0.0,16.7,0.0,0.0,2010-01-01 18:00:00
1,1,19,0,0,16.0,0.0,0.2,0.0,16.0,0.0,0.0,2010-01-01 19:00:00
1,1,20,0,0,15.4,0.0,0.2,0.0,15.4,0.0,0.0,2010-01-01 20:00:00
1,1,21,0,0,15.0,0.0,0.2,0.0,15.0,0.0,0.0,2010-01-01 21:00:00
1,1,22,0,0,14.6,0.0,0.2,0.0,14.6,0.0,0.0,2010-01-01 22:00:00
1,1,23,0,0,14.3,0.0,0.2,0.0,14.3,0.0,0.0,2010-01-01 23:00:00
1,2,0,0,0,13.9,0.0,0.2,0.0,13.9,0.0,0.0,2010-01-02 00:00:00
1,2,1,0,0,13.5,0.0,0.2,0.0,13.5,0.0,0.0,2010-01-02 01:00:00
1,2,2,0,0,13.1,0.0,0.2,0.0,13.1,0.0,0.0,2010-01-02 02:00:00
1,2,3,0,0,12.7,0.0,0.2,0.0,12.7,0.0,0.0,2010-01-02 03:00:00
1,2,4,0,0,12.3,0.0,0.2,0.0,12.3,0.0,0.0,2010-01-02 04:00:00
1,2,5,0,0,11.9,0.0,0.2,0.0,11.9,0.0,0.0,2010-01-02 05:00:00
1,2,6,0,0,11.5,0.0,0.2,0.0,11.5,0.0,0.0,2010-01-02 06:00:00
1,2,7,185,11,11.7,0.0,0.2,0.0,11.7,0.0,0.0,2010-01-02 07:00:00
1,2,8,137,75,12.2,0.0,0.2,134.039,17.004,309.451,282.632,2010-01-02 08:00:00
1,2,9,116,124,13.1,0.0,0.2,191.312,20.921,647.747,608.94,2010-01-02 09:00:00
1,2,10,354,140,14.3,0.0,0.2,371.35,29.552,1259.787,1199.294,2010-01-02 10:00:00
1,2,11,106,170,15.4,0.0,0.2,259.088,25.998,869.665,822.995,2010-01-02 11:00:00
1,2,12,285,173,16.4,0.0,0.2,423.108,33.715,1396.52,1331.182,2010-01-02 12:00:00
1,2,13,105,152,17.0,0.0,0.2,246.381,27.066,818.671,773.808,2010-01-02 13:00:00
1,2,14,52,61,17.2,0.0,0.2,102.834,21.406,340.419,312.502,2010-01-02 14:00:00
1,2,15,42,35,16.8,0.0,0.2,63.441,19.401,209.389,186.115,2010-01-02 15:00:00
1,2,16,176,11,16.0,0.0,0.2,104.425,20.296,355.415,326.967,2010-01-02 16:00:00
1,2,17,0,0,15.2,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-02 17:00:00
1,2,18,0,0,14.6,0.0,0.2,0.0,14.6,0.0,0.0,2010-01-02 18:00:00
1,2,19,0,0,14.1,0.0,0.2,0.0,14.1,0.0,0.0,2010-01-02 19:00:00
1,2,20,0,0,13.6,0.0,0.2,0.0,13.6,0.0,0.0,2010-01-02 20:00:00
1,2,21,0,0,13.3,0.0,0.2,0.0,13.3,0.0,0.0,2010-01-02 21:00:00
1,2,22,0,0,13.0,0.0,0.2,0.0,13.0,0.0,0.0,2010-01-02 22:00:00
1,2,23,0,0,12.7,0.0,0.2,0.0,12.7,0.0,0.0,2010-01-02 23:00:00
1,3,0,0,0,12.6,0.0,0.2,0.0,12.6,0.0,0.0,2010-01-03 00:00:00
1,3,1,0,0,12.5,0.0,0.2,0.0,12.5,0.0,0.0,2010-01-03 01:00:00
1,3,2,0,0,12.4,0.0,0.2,0.0,12.4,0.0,0.0,2010-01-03 02:00:00
1,3,3,0,0,12.2,0.0,0.2,0.0,12.2,0.0,0.0,2010-01-03 03:00:00
1,3,4,0,0,12.1,0.0,0.2,0.0,12.1,0.0,0.0,2010-01-03 04:00:00
1,3,5,0,0,12.0,0.0,0.2,0.0,12.0,0.0,0.0,2010-01-03 05:00:00
1,3,6,0,0,11.9,0.0,0.2,0.0,11.9,0.0,0.0,2010-01-03 06:00:00
1,3,7,148,13,12.0,0.0,0.2,0.0,12.0,0.0,0.0,2010-01-03 07:00:00
1,3,8,148,78,12.5,0.0,0.2,141.665,17.576,326.777,299.343,2010-01-03 08:00:00
1,3,9,202,131,13.3,0.0,0.2,236.88,22.982,800.371,756.157,2010-01-03 09:00:00
1,3,10,534,101,14.4,0.0,0.2,448.176,32.826,1512.209,1442.771,2010-01-03 10:00:00
1,3,11,414,146,15.4,0.0,0.2,477.178,34.966,1581.972,1510.063,2010-01-03 11:00:00
1,3,12,457,135,16.3,0.0,0.2,530.193,38.021,1733.214,1655.945,2010-01-03 12:00:00
1,3,13,402,132,16.9,0.0,0.2,487.835,36.878,1598.047,1525.567,2010-01-03 13:00:00
1,3,14,96,123,17.1,0.0,0.2,202.97,25.4,677.192,637.342,2010-01-03 14:00:00
1,3,15,65,55,16.7,0.0,0.2,99.602,20.783,332.865,305.216,2010-01-03 15:00:00
1,3,16,44,12,16.0,0.0,0.2,37.84,17.555,124.132,103.879,2010-01-03 16:00:00
1,3,17,0,0,15.3,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-03 17:00:00
1,3,18,0,0,14.7,0.0,0.2,0.0,14.7,0.0,0.0,2010-01-03 18:00:00
1,3,19,0,0,14.2,0.0,0.2,0.0,14.2,0.0,0.0,2010-01-03 19:00:00
1,3,20,0,0,13.8,0.0,0.2,0.0,13.8,0.0,0.0,2010-01-03 20:00:00
1,3,21,0,0,13.5,0.0,0.2,0.0,13.5,0.0,0.0,2010-01-03 21:00:00
1,3,22,0,0,13.2,0.0,0.2,0.0,13.2,0.0,0.0,2010-01-03 22:00:00
1,3,23,0,0,13.0,0.0,0.2,0.0,13.0,0.0,0.0,2010-01-03 23:00:00
1,4,0,0,0,12.4,0.0,0.2,0.0,12.4,0.0,0.0,2010-01-04 00:00:00
1,4,1,0,0,11.8,0.0,0.2,0.0,11.8,0.0,0.0,2010-01-04 01:00:00
1,4,2,0,0,11.3,0.0,0.2,0.0,11.3,0.0,0.0,2010-01-04 02:00:00
1,4,3,0,0,10.7,0.0,0.2,0.0,10.7,0.0,0.0,2010-01-04 03:00:00
1,4,4,0,0,10.1,0.0,0.2,0.0,10.1,0.0,0.0,2010-01-04 04:00:00
1,4,5,0,0,9.6,0.0,0.2,0.0,9.6,0.0,0.0,2010-01-04 05:00:00
1,4,6,0,0,9.0,0.0,0.2,0.0,9.0,0.0,0.0,2010-01-04 06:00:00
1,4,7,192,11,9.2,0.0,0.2,0.0,9.2,0.0,0.0,2010-01-04 07:00:00
1,4,8,163,75,9.9,0.0,0.2,136.911,14.797,317.647,290.538,2010-01-04 08:00:00
1,4,9,456,88,11.0,0.0,0.2,301.87,23.334,1023.871,971.737,2010-01-04 09:00:00
1,4,10,534,100,12.6,0.0,0.2,446.897,30.973,1518.947,1449.27,2010-01-04 10:00:00
1,4,11,634,87,14.1,0.0,0.2,575.791,37.738,1900.816,1817.608,2010-01-04 11:00:00
1,4,12,257,178,15.4,0.0,0.2,406.553,32.033,1348.432,1284.797,2010-01-04 12:00:00
1,4,13,330,145,16.2,0.0,0.2,444.49,34.394,1465.601,1397.815,2010-01-04 13:00:00
1,4,14,123,124,16.4,0.0,0.2,224.904,25.601,753.348,710.799,2010-01-04 14:00:00
1,4,15,148,75,15.9,0.0,0.2,182.022,23.367,617.311,579.583,2010-01-04 15:00:00
1,4,16,98,14,14.9,0.0,0.2,69.946,17.776,236.2,211.977,2010-01-04 16:00:00
1,4,17,0,0,13.9,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-04 17:00:00
1,4,18,0,0,13.0,0.0,0.2,0.0,13.0,0.0,0.0,2010-01-04 18:00:00
1,4,19,0,0,12.3,0.0,0.2,0.0,12.3,0.0,0.0,2010-01-04 19:00:00
1,4,20,0,0,11.7,0.0,0.2,0.0,11.7,0.0,0.0,2010-01-04 20:00:00
1,4,21,0,0,11.3,0.0,0.2,0.0,11.3,0.0,0.0,2010-01-04 21:00:00
1,4,22,0,0,10.9,0.0,0.2,0.0,10.9,0.0,0.0,2010-01-04 22:00:00
1,4,23,0,0,10.5,0.0,0.2,0.0,10.5,0.0,0.0,2010-01-04 23:00:00
1,5,0,0,0,10.2,0.0,0.2,0.0,10.2,0.0,0.0,2010-01-05 00:00:00
1,5,1,0,0,9.9,0.0,0.2,0.0,9.9,0.0,0.0,2010-01-05 01:00:00
1,5,2,0,0,9.6,0.0,0.2,0.0,9.6,0.0,0.0,2010-01-05 02:00:00
1,5,3,0,0,9.3,0.0,0.2,0.0,9.3,0.0,0.0,2010-01-05 03:00:00
1,5,4,0,0,9.0,0.0,0.2,0.0,9.0,0.0,0.0,2010-01-05 04:00:00
1,5,5,0,0,8.7,0.0,0.2,0.0,8.7,0.0,0.0,2010-01-05 05:00:00
1,5,6,0,0,8.4,0.0,0.2,0.0,8.4,0.0,0.0,2010-01-05 06:00:00
1,5,7,189,12,8.6,0.0,0.2,0.0,8.6,0.0,0.0,2010-01-05 07:00:00
1,5,8,90,63,9.2,0.0,0.2,102.687,12.887,239.528,215.187,2010-01-05 08:00:00
1,5,9,110,115,10.2,0.0,0.2,176.757,17.425,605.027,567.735,2010-01-05 09:00:00
1,5,10,396,131,11.6,0.0,0.2,394.533,27.807,1350.383,1286.679,2010-01-05 10:00:00
1,5,11,242,179,13.0,0.0,0.2,378.081,28.483,1274.57,1213.553,2010-01-05 11:00:00
1,5,12,265,175,14.1,0.0,0.2,409.713,30.863,1365.766,1301.517,2010-01-05 12:00:00
1,5,13,519,103,14.9,0.0,0.2,557.382,37.739,1826.658,1746.078,2010-01-05 13:00:00
1,5,14,462,87,15.0,0.0,0.2,469.216,34.242,1560.58,1489.428,2010-01-05 14:00:00
1,5,15,313,63,14.6,0.0,0.2,291.778,26.584,995.772,944.634,2010-01-05 15:00:00
1,5,16,183,12,13.7,0.0,0.2,110.471,18.247,380.575,351.236,2010-01-05 16:00:00
1,5,17,0,0,12.7,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-05 17:00:00
1,5,18,0,0,12.0,0.0,0.2,0.0,12.0,0.0,0.0,2010-01-05 18:00:00
1,5,19,0,0,11.4,0.0,0.2,0.0,11.4,0.0,0.0,2010-01-05 19:00:00
1,5,20,0,0,10.8,0.0,0.2,0.0,10.8,0.0,0.0,2010-01-05 20:00:00
1,5,21,0,0,10.4,0.5,0.2,0.0,10.4,0.0,0.0,2010-01-05 21:00:00
1,5,22,0,0,10.1,0.9,0.2,0.0,10.1,0.0,0.0,2010-01-05 22:00:00
1,5,23,0,0,9.8,3.0,0.2,0.0,9.8,0.0,0.0,2010-01-05 23:00:00
1,6,0,0,0,9.9,3.3,0.2,0.0,9.9,0.0,0.0,2010-01-06 00:00:00
1,6,1,0,0,10.1,4.4,0.2,0.0,10.1,0.0,0.0,2010-01-06 01:00:00
1,6,2,0,0,10.3,6.7,0.2,0.0,10.3,0.0,0.0,2010-01-06 02:00:00
1,6,3,0,0,10.4,8.3,0.2,0.0,10.4,0.0,0.0,2010-01-06 03:00:00
1,6,4,0,0,10.6,8.3,0.2,0.0,10.6,0.0,0.0,2010-01-06 04:00:00
1,6,5,0,0,10.8,10.0,0.2,0.0,10.8,0.0,0.0,2010-01-06 05:00:00
1,6,6,0,0,10.9,10.6,0.2,0.0,10.9,0.0,0.0,2010-01-06 06:00:00
1,6,7,198,12,11.1,12.9,0.2,0.0,11.1,0.0,0.0,2010-01-06 07:00:00
1,6,8,206,74,11.5,12.7,0.2,126.796,12.348,292.417,266.202,2010-01-06 08:00:00
1,6,9,132,126,12.4,10.8,0.2,200.022,14.151,696.04,655.523,2010-01-06 09:00:00
1,6,10,463,117,13.5,13.0,0.2,419.017,16.679,1500.162,1431.151,2010-01-06 10:00:00
1,6,11,512,120,14.6,13.3,0.2,524.882,18.502,1859.472,1777.73,2010-01-06 11:00:00
1,6,12,257,178,15.5,12.6,0.2,406.824,18.652,1420.619,1354.427,2010-01-06 12:00:00
1,6,13,104,143,16.2,13.5,0.2,236.041,17.926,811.941,767.317,2010-01-06 13:00:00
1,6,14,166,129,16.3,13.2,0.2,272.733,18.335,946.253,896.869,2010-01-06 14:00:00
1,6,15,75,54,15.9,13.1,0.2,110.331,16.73,376.468,347.274,2010-01-06 15:00:00
1,6,16,192,12,15.2,11.3,0.2,115.429,16.182,401.943,371.847,2010-01-06 16:00:00
1,6,17,0,0,14.5,14.3,0.2,0.0,0.0,0.0,0.0,2010-01-06 17:00:00
1,6,18,0,0,13.8,10.9,0.2,0.0,13.8,0.0,0.0,2010-01-06 18:00:00
1,6,19,0,0,13.3,12.0,0.2,0.0,13.3,0.0,0.0,2010-01-06 19:00:00
1,6,20,0,0,12.9,11.4,0.2,0.0,12.9,0.0,0.0,2010-01-06 20:00:00
1,6,21,0,0,12.6,8.0,0.2,0.0,12.6,0.0,0.0,2010-01-06 21:00:00
1,6,22,0,0,12.3,8.1,0.2,0.0,12.3,0.0,0.0,2010-01-06 22:00:00
1,6,23,0,0,12.0,6.1,0.2,0.0,12.0,0.0,0.0,2010-01-06 23:00:00
1,7,0,0,0,12.0,3.0,0.2,0.0,12.0,0.0,0.0,2010-01-07 00:00:00
1,7,1,0,0,12.0,2.0,0.2,0.0,12.0,0.0,0.0,2010-01-07 01:00:00
1,7,2,0,0,12.0,1.0,0.2,0.0,12.0,0.0,0.0,2010-01-07 02:00:00
1,7,3,0,0,12.0,1.2,0.2,0.0,12.0,0.0,0.0,2010-01-07 03:00:00
1,7,4,0,0,12.0,0.5,0.2,0.0,12.0,0.0,0.0,2010-01-07 04:00:00
1,7,5,0,0,12.0,0.4,0.2,0.0,12.0,0.0,0.0,2010-01-07 05:00:00
1,7,6,0,0,12.0,0.3,0.2,0.0,12.0,0.0,0.0,2010-01-07 06:00:00
1,7,7,195,13,12.2,0.1,0.2,0.0,12.2,0.0,0.0,2010-01-07 07:00:00
1,7,8,48,42,12.7,0.1,0.2,59.847,14.781,135.641,114.981,2010-01-07 08:00:00
1,7,9,27,36,13.6,0.1,0.2,45.351,15.394,148.443,127.329,2010-01-07 09:00:00
1,7,10,158,174,14.9,0.0,0.2,284.561,26.566,963.903,913.893,2010-01-07 10:00:00
1,7,11,122,186,16.2,0.0,0.2,288.604,28.005,963.922,913.913,2010-01-07 11:00:00
1,7,12,90,157,17.2,0.0,0.2,238.749,26.952,792.202,748.277,2010-01-07 12:00:00
1,7,13,84,134,17.9,0.0,0.2,209.94,26.475,694.875,654.399,2010-01-07 13:00:00
1,7,14,332,114,18.1,0.0,0.2,395.448,34.303,1306.383,1244.238,2010-01-07 14:00:00
1,7,15,78,65,17.7,0.0,0.2,119.313,22.59,398.352,368.382,2010-01-07 15:00:00
1,7,16,159,14,16.8,0.0,0.2,101.8,20.99,345.647,317.545,2010-01-07 16:00:00
1,7,17,0,0,16.0,0.0,0.2,0.0,0.0,0.0,0.0,2010-01-07 17:00:00
1,7,18,0,0,15.3,0.0,0.2,0.0,15.3,0.0,0.0,2010-01-07 18:00:00
1,7,19,0,0,14.7,0.0,0.2,0.0,14.7,0.0,0.0,2010-01-07 19:00:00
1,7,20,0,0,14.3,0.0,0.2,0.0,14.3,0.0,0.0,2010-01-07 20:00:00
